nome_datacenter;operadora;endereco;cep;link_datacenter
Data Center Marechal Rondon;Brazilian Army;R. da Independencia, 632 ;01524-000;https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/
Adentro DC Porto Alegre;ADENTRO DATA CENTER SOLUTIONS LTDA;Av. Bahia, 1258;90240-552;https://www.datacentermap.com/brazil/porto-alegre/adentro/
Algar Tech Uberlandia - Jaraguá;Algar Tech;Rua Janaúba, 145;38413-102;https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/
Algar Tech Uberlandia - Granja Marileusa;Algar Tech;Av. Floriano Peixoto, 6500;38406-642;https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/
ODATA RJ01;ODATA, an Aligned Data Centers Company;Rod. Pres. Dutra, 4648;25565-350;https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/
ODATA SP01;ODATA, an Aligned Data Centers Company;39,2, Estr. dos Romeiros, 943;06513-001;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/
ODATA SP03;ODATA, an Aligned Data Centers Company;Alameda Araguacema, 187;06460-070;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/
AngoNAP Fortaleza;Angola Cables;Av. Trajano de Medeiros, 1851 - Vicente Pinzon;60182-186;https://www.datacentermap.com/brazil/fortaleza/angonap-fortaleza/
Armazem DC Brusque;Armazém Cloud;R. Atílio Battistoti, 199 - Azambuja;88354-120;https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/
Armazem DC Joinville;Armazém Cloud;R. Dona Francisca, 8300 - Distrito Industrial Norte;89219-600;https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/
ASAP SP1;ASAP Telecom;Av. das Nações Unidas, 22540;04795000;https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/
Ascenty - Campinas CPS1;Ascenty Data Centers;Avenida Pierre Simon de Laplace, 1211;13069-320;https://www.datacentermap.com/brazil/campinas/ascenty/
Ascenty - Hortolandia HTL4;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/
Ascenty - Hortolandia HTL5;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/ascenty-htl05/
Ascenty - Jundiai JDI1;Ascenty Data Centers;Rua Presbítero Plínio Alves de Souza, 757;13212-181;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/
Ascenty - Jundiai JDI2;Ascenty Data Centers;Av. Beirute, 863;13212-181;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/
Ascenty - Sao Paulo SP5;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/
Ascenty - Sao Paulo SP4;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06276-016;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/
Ascenty - Vinhedo VIN2;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;https://www.datacentermap.com/brazil/campinas/ascenty-vin02/
Sonda Ativas;Sonda S.A.;Agenério de Araújo st. , 20 Camargos;30140090;https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/
Ascenty - Vinhedo VIN1;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/
Ascenty - Rio de Janeiro RJ1;Ascenty Data Centers;Avenida Coronel Phidias Tavora, 513;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/
Ascenty- Rio de Janeiro RJ2;Ascenty Data Centers;R. Mercúrio, 1736;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/
Ascenty - Sao Paulo SP1;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/
Ascenty - Sao Paulo SP2;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/
Ascenty - Sao Paulo SP3;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/
Avato Joinville;Ávato;Av. Santos Dumont, 935 - Santo Antônio;89223-002;https://www.datacentermap.com/brazil/joinville/avato-joinville/
B3 Data Center;B3 S.A. – Brasil, Bolsa, Balcão;R. Ricardo Prudente de Aquino, 85 - Res. Tambore III;06543-004;https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/
BRDrive Data Center;BRDrive;R. Frederico Bortolaz, 971 - Panazzolo;89566-060;https://www.datacentermap.com/brazil/videira/brdrive-data-center/
BRDrive - Santa Catarina - VDA;BRDrive;Rua Frederico Bortolaz;89566060;https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/
CDZNet Data Center;cdznet data center;R. Independência, 2472;15025-095;https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/
Century CEM-DC01;Century Telecom LTDA;José Permínio da Silva st., 80;32341590;https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/
Cirion CUR1;Cirion;R. do Semeador, 350;81270;https://www.datacentermap.com/brazil/curitiba/cirion-cur1/
Cirion RIO2;Cirion;Av. Pedro II, 235;20941;https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/
Claro Data Center LAPA;Claro;R. Aldo de Azevedo, 200 - Vila Madalena;05453-030;https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/
ClickIP Datacenters;ClickIP Datacenters;Rua Presidente João Batista Figueiredo, 15;69058695;https://www.datacentermap.com/brazil/manaus/clickip-datacenters/
Novvacore Data Center;Novvacore;Rua Professor Filadelfo de Azevedo 712;04508011;https://www.datacentermap.com/brazil/sao-paulo/cma/
Connect Web Data Center;Connect Web;Av. das Nações Unidas, 12995;04578-000;https://www.datacentermap.com/brazil/sao-paulo/connect-web/
Constel Cascavel Centro;Constel Tecnologia;Rua Minas Gerais, 1932 - Centro;85812-030;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/
Constel Cascavel Country;Constel Tecnologia;Rua Pará, 812 - Country;85813-060;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/
Contato Data Center;Contato Data Center;Rua Doutor Américo Cavalcante Rabello, 241;88901052;https://www.datacentermap.com/brazil/ararangu/contato-cloud/
Convex IDC Ribeirão Preto;Convex Internet Solutions;R. Bernardino de Campos, 1001;14015-130;https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/
COPE-P Brasilia;Telebras;St. de Habitações Individuais Sul;70200-001;https://www.datacentermap.com/brazil/brasilia/cope-p/
COPE-S Rio de Janeiro;Telebras;Rua Américo Goulart - Cacuia;21930-700;https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/
CWB-HN 01;Hosting Now;Rua Brasílio Itiberê 2217;80230050;https://www.datacentermap.com/brazil/curitiba/cwbhn-01/
Locaweb Data Center Itapaiuna;Locaweb S/A;Rua Itapaiuna, 2434;05707-001;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/
Locaweb Data Center JK;Locaweb S/A;Av. Presidente Juscelino Kubitscheck, 1830 1º Andar;04543-900;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/
Avato Santa Maria;Ávato;Av. Fernando Ferrari, 1280 - Nossa Sra. de Lourdes;97050-800;https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/
Ultranet Telecom DC Fortaleza;Ultranet Telecom;Av. Santos Dumont, 2122;60150-161;https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/
Ultranet Telecom DC Centro;Ultranet Telecom;Av. Pres. Vargas, 3131;20210-030;https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/
DSI - PAE-A01;DSI Internet;R. Mostardeiro, 265 - Rio Branco;90430001;https://www.datacentermap.com/brazil/porto-alegre/dsi-pae-a01/
Edge Connection - CPS01;Edge Connection;Rua Angelo Sellin, 401;13098422;https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/
Elea BSB1;Elea Data Centers;Scn Q 3;70297;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/
Elea BSB2;Elea Data Centers;Sig Q 2;70610;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/
Elea CTA1;Elea Data Centers;Tv. Teixeira de Freitas 73;80410;https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/
Elea POA1;Elea Data Centers;Rua Engenheiro Afonso Cavalcanti 100;90440;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/
Elea POA2;Elea Data Centers;R. Voluntários da Pátria 1555;90030;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/
Elea RJO1;Elea Data Centers;R. Vargem Grande 100;22775;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/
Elea SPO1;Elea Data Centers;Av. Guido Caloi 1000;05802;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/
Elea SPO2;Elea Data Centers;Av. Marginal Direita Anchieta, 1241;09891;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/
