name_datacenter,ano,classe,percentual,ano_operacional_referencia
Adentro DC Porto Alegre,2016,Vegetação densa,0.0,
Adentro DC Porto Alegre,2016,Grama,9.22,
Adentro DC Porto Alegre,2016,Solo exposto,0.71,
Adentro DC Porto Alegre,2016,Construção,90.07,
Adentro DC Porto Alegre,2017,Vegetação densa,0.0,
Adentro DC Porto Alegre,2017,Grama,4.44,
Adentro DC Porto Alegre,2017,Solo exposto,0.0,
Adentro DC Porto Alegre,2017,Construção,95.56,
Adentro DC Porto Alegre,2018,Vegetação densa,0.0,
Adentro DC Porto Alegre,2018,Grama,5.6,
Adentro DC Porto Alegre,2018,Solo exposto,0.0,
Adentro DC Porto Alegre,2018,Construção,94.4,
Adentro DC Porto Alegre,2019,Vegetação densa,0.0,
Adentro DC Porto Alegre,2019,Grama,8.33,
Adentro DC Porto Alegre,2019,Solo exposto,0.28,
Adentro DC Porto Alegre,2019,Construção,91.39,
Adentro DC Porto Alegre,2020,Vegetação densa,0.0,
Adentro DC Porto Alegre,2020,Grama,11.32,
Adentro DC Porto Alegre,2020,Solo exposto,0.0,
Adentro DC Porto Alegre,2020,Construção,88.68,
Adentro DC Porto Alegre,2021,Vegetação densa,0.0,
Adentro DC Porto Alegre,2021,Grama,6.15,
Adentro DC Porto Alegre,2021,Solo exposto,0.28,
Adentro DC Porto Alegre,2021,Construção,93.58,
Adentro DC Porto Alegre,2022,Vegetação densa,0.0,
Adentro DC Porto Alegre,2022,Grama,10.17,
Adentro DC Porto Alegre,2022,Solo exposto,0.0,
Adentro DC Porto Alegre,2022,Construção,89.83,
Adentro DC Porto Alegre,2023,Vegetação densa,0.0,
Adentro DC Porto Alegre,2023,Grama,8.89,
Adentro DC Porto Alegre,2023,Solo exposto,0.0,
Adentro DC Porto Alegre,2023,Construção,91.11,
Adentro DC Porto Alegre,2024,Vegetação densa,0.0,
Adentro DC Porto Alegre,2024,Grama,11.39,
Adentro DC Porto Alegre,2024,Solo exposto,0.0,
Adentro DC Porto Alegre,2024,Construção,88.61,
Adentro DC Porto Alegre,2025,Vegetação densa,0.0,
Adentro DC Porto Alegre,2025,Grama,8.88,
Adentro DC Porto Alegre,2025,Solo exposto,0.29,
Adentro DC Porto Alegre,2025,Construção,90.83,
Adentro DC Porto Alegre,2026,Vegetação densa,0.56,
Adentro DC Porto Alegre,2026,Grama,11.39,
Adentro DC Porto Alegre,2026,Solo exposto,0.28,
Adentro DC Porto Alegre,2026,Construção,87.78,
