name_datacenter,ano,classe,percentual,ano_operacional_referencia
Algar Tech Uberlandia - Granja Marileusa,2016,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2016,Grama,46.91,
Algar Tech Uberlandia - Granja Marileusa,2016,Solo exposto,2.78,
Algar Tech Uberlandia - Granja Marileusa,2016,Construção,36.11,
Algar Tech Uberlandia - Granja Marileusa,2017,Vegetação densa,16.36,
Algar Tech Uberlandia - Granja Marileusa,2017,Grama,45.37,
Algar Tech Uberlandia - Granja Marileusa,2017,Solo exposto,4.63,
Algar Tech Uberlandia - Granja Marileusa,2017,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2018,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2018,Grama,45.68,
Algar Tech Uberlandia - Granja Marileusa,2018,Solo exposto,6.48,
Algar Tech Uberlandia - Granja Marileusa,2018,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2019,Vegetação densa,13.58,
Algar Tech Uberlandia - Granja Marileusa,2019,Grama,48.77,
Algar Tech Uberlandia - Granja Marileusa,2019,Solo exposto,5.56,
Algar Tech Uberlandia - Granja Marileusa,2019,Construção,32.1,
Algar Tech Uberlandia - Granja Marileusa,2020,Vegetação densa,15.43,
Algar Tech Uberlandia - Granja Marileusa,2020,Grama,56.79,
Algar Tech Uberlandia - Granja Marileusa,2020,Solo exposto,1.23,
Algar Tech Uberlandia - Granja Marileusa,2020,Construção,26.54,
Algar Tech Uberlandia - Granja Marileusa,2021,Vegetação densa,14.81,
Algar Tech Uberlandia - Granja Marileusa,2021,Grama,47.84,
Algar Tech Uberlandia - Granja Marileusa,2021,Solo exposto,3.7,
Algar Tech Uberlandia - Granja Marileusa,2021,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2022,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2022,Grama,48.46,
Algar Tech Uberlandia - Granja Marileusa,2022,Solo exposto,0.93,
Algar Tech Uberlandia - Granja Marileusa,2022,Construção,36.42,
Algar Tech Uberlandia - Granja Marileusa,2023,Vegetação densa,14.51,
Algar Tech Uberlandia - Granja Marileusa,2023,Grama,50.0,
Algar Tech Uberlandia - Granja Marileusa,2023,Solo exposto,1.23,
Algar Tech Uberlandia - Granja Marileusa,2023,Construção,34.26,
Algar Tech Uberlandia - Granja Marileusa,2024,Vegetação densa,14.51,
Algar Tech Uberlandia - Granja Marileusa,2024,Grama,43.21,
Algar Tech Uberlandia - Granja Marileusa,2024,Solo exposto,2.47,
Algar Tech Uberlandia - Granja Marileusa,2024,Construção,39.81,
Algar Tech Uberlandia - Granja Marileusa,2025,Vegetação densa,12.04,
Algar Tech Uberlandia - Granja Marileusa,2025,Grama,51.23,
Algar Tech Uberlandia - Granja Marileusa,2025,Solo exposto,6.48,
Algar Tech Uberlandia - Granja Marileusa,2025,Construção,30.25,
Algar Tech Uberlandia - Granja Marileusa,2026,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2026,Grama,51.85,
Algar Tech Uberlandia - Granja Marileusa,2026,Solo exposto,2.78,
Algar Tech Uberlandia - Granja Marileusa,2026,Construção,31.17,
