name_datacenter,ano,classe,percentual,ano_operacional_referencia
Algar Tech Uberlandia - Jaraguá,2016,Vegetação densa,1.85,
Algar Tech Uberlandia - Jaraguá,2016,Grama,29.63,
Algar Tech Uberlandia - Jaraguá,2016,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2016,Construção,67.9,
Algar Tech Uberlandia - Jaraguá,2017,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2017,Grama,28.4,
Algar Tech Uberlandia - Jaraguá,2017,Solo exposto,0.31,
Algar Tech Uberlandia - Jaraguá,2017,Construção,71.3,
Algar Tech Uberlandia - Jaraguá,2018,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2018,Grama,30.56,
Algar Tech Uberlandia - Jaraguá,2018,Solo exposto,1.54,
Algar Tech Uberlandia - Jaraguá,2018,Construção,67.59,
Algar Tech Uberlandia - Jaraguá,2019,Vegetação densa,0.62,
Algar Tech Uberlandia - Jaraguá,2019,Grama,31.48,
Algar Tech Uberlandia - Jaraguá,2019,Solo exposto,0.93,
Algar Tech Uberlandia - Jaraguá,2019,Construção,66.98,
Algar Tech Uberlandia - Jaraguá,2020,Vegetação densa,0.93,
Algar Tech Uberlandia - Jaraguá,2020,Grama,38.58,
Algar Tech Uberlandia - Jaraguá,2020,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2020,Construção,59.88,
Algar Tech Uberlandia - Jaraguá,2021,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2021,Grama,24.69,
Algar Tech Uberlandia - Jaraguá,2021,Solo exposto,2.47,
Algar Tech Uberlandia - Jaraguá,2021,Construção,72.53,
Algar Tech Uberlandia - Jaraguá,2022,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2022,Grama,26.85,
Algar Tech Uberlandia - Jaraguá,2022,Solo exposto,0.31,
Algar Tech Uberlandia - Jaraguá,2022,Construção,72.84,
Algar Tech Uberlandia - Jaraguá,2023,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2023,Grama,34.57,
Algar Tech Uberlandia - Jaraguá,2023,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2023,Construção,64.51,
Algar Tech Uberlandia - Jaraguá,2024,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2024,Grama,21.3,
Algar Tech Uberlandia - Jaraguá,2024,Solo exposto,4.01,
Algar Tech Uberlandia - Jaraguá,2024,Construção,74.69,
Algar Tech Uberlandia - Jaraguá,2025,Vegetação densa,1.23,
Algar Tech Uberlandia - Jaraguá,2025,Grama,34.26,
Algar Tech Uberlandia - Jaraguá,2025,Solo exposto,1.54,
Algar Tech Uberlandia - Jaraguá,2025,Construção,62.96,
Algar Tech Uberlandia - Jaraguá,2026,Vegetação densa,1.54,
Algar Tech Uberlandia - Jaraguá,2026,Grama,33.95,
Algar Tech Uberlandia - Jaraguá,2026,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2026,Construção,63.89,
