name_datacenter,ano,classe,percentual,ano_operacional_referencia
AngoNAP Fortaleza,2016,Vegetação densa,0.0,
AngoNAP Fortaleza,2016,Grama,16.99,
AngoNAP Fortaleza,2016,Solo exposto,0.98,
AngoNAP Fortaleza,2016,Construção,82.03,
AngoNAP Fortaleza,2017,Vegetação densa,0.0,
AngoNAP Fortaleza,2017,Grama,31.7,
AngoNAP Fortaleza,2017,Solo exposto,0.65,
AngoNAP Fortaleza,2017,Construção,67.65,
AngoNAP Fortaleza,2018,Vegetação densa,0.98,
AngoNAP Fortaleza,2018,Grama,39.22,
AngoNAP Fortaleza,2018,Solo exposto,0.98,
AngoNAP Fortaleza,2018,Construção,58.82,
AngoNAP Fortaleza,2019,Vegetação densa,3.92,
AngoNAP Fortaleza,2019,Grama,55.56,
AngoNAP Fortaleza,2019,Solo exposto,0.33,
AngoNAP Fortaleza,2019,Construção,40.2,
AngoNAP Fortaleza,2020,Vegetação densa,2.61,
AngoNAP Fortaleza,2020,Grama,49.02,
AngoNAP Fortaleza,2020,Solo exposto,0.0,
AngoNAP Fortaleza,2020,Construção,48.37,
AngoNAP Fortaleza,2021,Vegetação densa,2.03,
AngoNAP Fortaleza,2021,Grama,46.44,
AngoNAP Fortaleza,2021,Solo exposto,0.68,
AngoNAP Fortaleza,2021,Construção,50.85,
AngoNAP Fortaleza,2022,Vegetação densa,1.96,
AngoNAP Fortaleza,2022,Grama,50.0,
AngoNAP Fortaleza,2022,Solo exposto,0.65,
AngoNAP Fortaleza,2022,Construção,47.39,
AngoNAP Fortaleza,2023,Vegetação densa,0.33,
AngoNAP Fortaleza,2023,Grama,42.81,
AngoNAP Fortaleza,2023,Solo exposto,0.65,
AngoNAP Fortaleza,2023,Construção,56.21,
AngoNAP Fortaleza,2024,Vegetação densa,0.98,
AngoNAP Fortaleza,2024,Grama,42.81,
AngoNAP Fortaleza,2024,Solo exposto,0.0,
AngoNAP Fortaleza,2024,Construção,56.21,
AngoNAP Fortaleza,2025,Vegetação densa,4.9,
AngoNAP Fortaleza,2025,Grama,53.59,
AngoNAP Fortaleza,2025,Solo exposto,0.0,
AngoNAP Fortaleza,2025,Construção,41.5,
AngoNAP Fortaleza,2026,Vegetação densa,11.76,
AngoNAP Fortaleza,2026,Grama,58.17,
AngoNAP Fortaleza,2026,Solo exposto,0.33,
AngoNAP Fortaleza,2026,Construção,29.74,
