name_datacenter,ano,classe,percentual,ano_operacional_referencia
Armazem DC Brusque,2016,Vegetação densa,11.58,
Armazem DC Brusque,2016,Grama,35.59,
Armazem DC Brusque,2016,Solo exposto,0.85,
Armazem DC Brusque,2016,Construção,51.98,
Armazem DC Brusque,2017,Vegetação densa,10.56,
Armazem DC Brusque,2017,Grama,33.89,
Armazem DC Brusque,2017,Solo exposto,1.39,
Armazem DC Brusque,2017,Construção,54.17,
Armazem DC Brusque,2018,Vegetação densa,0.0,
Armazem DC Brusque,2018,Grama,0.0,
Armazem DC Brusque,2018,Solo exposto,0.0,
Armazem DC Brusque,2018,Construção,0.0,
Armazem DC Brusque,2019,Vegetação densa,9.72,
Armazem DC Brusque,2019,Grama,38.33,
Armazem DC Brusque,2019,Solo exposto,0.0,
Armazem DC Brusque,2019,Construção,51.94,
Armazem DC Brusque,2020,Vegetação densa,9.44,
Armazem DC Brusque,2020,Grama,33.61,
Armazem DC Brusque,2020,Solo exposto,0.56,
Armazem DC Brusque,2020,Construção,56.39,
Armazem DC Brusque,2021,Vegetação densa,9.44,
Armazem DC Brusque,2021,Grama,37.22,
Armazem DC Brusque,2021,Solo exposto,0.0,
Armazem DC Brusque,2021,Construção,53.33,
Armazem DC Brusque,2022,Vegetação densa,11.11,
Armazem DC Brusque,2022,Grama,36.67,
Armazem DC Brusque,2022,Solo exposto,0.0,
Armazem DC Brusque,2022,Construção,52.22,
Armazem DC Brusque,2023,Vegetação densa,7.78,
Armazem DC Brusque,2023,Grama,36.39,
Armazem DC Brusque,2023,Solo exposto,0.0,
Armazem DC Brusque,2023,Construção,55.83,
Armazem DC Brusque,2024,Vegetação densa,6.67,
Armazem DC Brusque,2024,Grama,30.0,
Armazem DC Brusque,2024,Solo exposto,0.28,
Armazem DC Brusque,2024,Construção,63.06,
Armazem DC Brusque,2025,Vegetação densa,8.33,
Armazem DC Brusque,2025,Grama,39.17,
Armazem DC Brusque,2025,Solo exposto,0.56,
Armazem DC Brusque,2025,Construção,51.94,
Armazem DC Brusque,2026,Vegetação densa,7.78,
Armazem DC Brusque,2026,Grama,38.61,
Armazem DC Brusque,2026,Solo exposto,0.0,
Armazem DC Brusque,2026,Construção,53.61,
