name_datacenter,ano,classe,percentual,ano_operacional_referencia
Armazem DC Joinville,2016,Vegetação densa,7.6,
Armazem DC Joinville,2016,Grama,24.27,
Armazem DC Joinville,2016,Solo exposto,0.0,
Armazem DC Joinville,2016,Construção,68.13,
Armazem DC Joinville,2017,Vegetação densa,10.82,
Armazem DC Joinville,2017,Grama,25.15,
Armazem DC Joinville,2017,Solo exposto,0.29,
Armazem DC Joinville,2017,Construção,63.74,
Armazem DC Joinville,2018,Vegetação densa,0.0,
Armazem DC Joinville,2018,Grama,0.0,
Armazem DC Joinville,2018,Solo exposto,0.0,
Armazem DC Joinville,2018,Construção,0.0,
Armazem DC Joinville,2019,Vegetação densa,9.06,
Armazem DC Joinville,2019,Grama,19.88,
Armazem DC Joinville,2019,Solo exposto,0.0,
Armazem DC Joinville,2019,Construção,71.05,
Armazem DC Joinville,2020,Vegetação densa,6.43,
Armazem DC Joinville,2020,Grama,26.32,
Armazem DC Joinville,2020,Solo exposto,0.0,
Armazem DC Joinville,2020,Construção,67.25,
Armazem DC Joinville,2021,Vegetação densa,8.77,
Armazem DC Joinville,2021,Grama,17.54,
Armazem DC Joinville,2021,Solo exposto,0.0,
Armazem DC Joinville,2021,Construção,73.68,
Armazem DC Joinville,2022,Vegetação densa,7.02,
Armazem DC Joinville,2022,Grama,19.59,
Armazem DC Joinville,2022,Solo exposto,0.0,
Armazem DC Joinville,2022,Construção,73.39,
Armazem DC Joinville,2023,Vegetação densa,6.43,
Armazem DC Joinville,2023,Grama,20.47,
Armazem DC Joinville,2023,Solo exposto,0.0,
Armazem DC Joinville,2023,Construção,73.1,
Armazem DC Joinville,2024,Vegetação densa,10.23,
Armazem DC Joinville,2024,Grama,19.3,
Armazem DC Joinville,2024,Solo exposto,0.0,
Armazem DC Joinville,2024,Construção,70.47,
Armazem DC Joinville,2025,Vegetação densa,0.0,
Armazem DC Joinville,2025,Grama,0.0,
Armazem DC Joinville,2025,Solo exposto,0.0,
Armazem DC Joinville,2025,Construção,0.0,
Armazem DC Joinville,2026,Vegetação densa,4.09,
Armazem DC Joinville,2026,Grama,28.07,
Armazem DC Joinville,2026,Solo exposto,0.29,
Armazem DC Joinville,2026,Construção,67.54,
