name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Campinas CPS1,2016,Vegetação densa,19.01,
Ascenty - Campinas CPS1,2016,Grama,21.05,
Ascenty - Campinas CPS1,2016,Solo exposto,2.63,
Ascenty - Campinas CPS1,2016,Construção,57.31,
Ascenty - Campinas CPS1,2017,Vegetação densa,15.5,
Ascenty - Campinas CPS1,2017,Grama,26.9,
Ascenty - Campinas CPS1,2017,Solo exposto,3.22,
Ascenty - Campinas CPS1,2017,Construção,54.39,
Ascenty - Campinas CPS1,2018,Vegetação densa,17.84,
Ascenty - Campinas CPS1,2018,Grama,27.78,
Ascenty - Campinas CPS1,2018,Solo exposto,2.05,
Ascenty - Campinas CPS1,2018,Construção,52.34,
Ascenty - Campinas CPS1,2019,Vegetação densa,19.01,
Ascenty - Campinas CPS1,2019,Grama,28.95,
Ascenty - Campinas CPS1,2019,Solo exposto,1.17,
Ascenty - Campinas CPS1,2019,Construção,50.88,
Ascenty - Campinas CPS1,2020,Vegetação densa,20.18,
Ascenty - Campinas CPS1,2020,Grama,27.19,
Ascenty - Campinas CPS1,2020,Solo exposto,2.05,
Ascenty - Campinas CPS1,2020,Construção,50.58,
Ascenty - Campinas CPS1,2021,Vegetação densa,19.59,
Ascenty - Campinas CPS1,2021,Grama,25.44,
Ascenty - Campinas CPS1,2021,Solo exposto,2.05,
Ascenty - Campinas CPS1,2021,Construção,52.92,
Ascenty - Campinas CPS1,2022,Vegetação densa,18.13,
Ascenty - Campinas CPS1,2022,Grama,29.53,
Ascenty - Campinas CPS1,2022,Solo exposto,1.17,
Ascenty - Campinas CPS1,2022,Construção,51.17,
Ascenty - Campinas CPS1,2023,Vegetação densa,19.01,
Ascenty - Campinas CPS1,2023,Grama,30.41,
Ascenty - Campinas CPS1,2023,Solo exposto,1.17,
Ascenty - Campinas CPS1,2023,Construção,49.42,
Ascenty - Campinas CPS1,2024,Vegetação densa,18.13,
Ascenty - Campinas CPS1,2024,Grama,30.41,
Ascenty - Campinas CPS1,2024,Solo exposto,1.46,
Ascenty - Campinas CPS1,2024,Construção,50.0,
Ascenty - Campinas CPS1,2025,Vegetação densa,22.22,
Ascenty - Campinas CPS1,2025,Grama,32.16,
Ascenty - Campinas CPS1,2025,Solo exposto,2.63,
Ascenty - Campinas CPS1,2025,Construção,42.98,
Ascenty - Campinas CPS1,2026,Vegetação densa,22.51,
Ascenty - Campinas CPS1,2026,Grama,33.04,
Ascenty - Campinas CPS1,2026,Solo exposto,1.75,
Ascenty - Campinas CPS1,2026,Construção,42.69,
