name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Hortolandia HTL4,2016,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2016,Grama,37.72,
Ascenty - Hortolandia HTL4,2016,Solo exposto,0.0,
Ascenty - Hortolandia HTL4,2016,Construção,62.28,
Ascenty - Hortolandia HTL4,2017,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2017,Grama,36.84,
Ascenty - Hortolandia HTL4,2017,Solo exposto,0.0,
Ascenty - Hortolandia HTL4,2017,Construção,63.16,
Ascenty - Hortolandia HTL4,2018,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2018,Grama,31.29,
Ascenty - Hortolandia HTL4,2018,Solo exposto,0.0,
Ascenty - Hortolandia HTL4,2018,Construção,68.71,
Ascenty - Hortolandia HTL4,2019,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2019,Grama,34.21,
Ascenty - Hortolandia HTL4,2019,Solo exposto,0.0,
Ascenty - Hortolandia HTL4,2019,Construção,65.79,
Ascenty - Hortolandia HTL4,2020,Vegetação densa,0.29,
Ascenty - Hortolandia HTL4,2020,Grama,33.63,
Ascenty - Hortolandia HTL4,2020,Solo exposto,0.0,
Ascenty - Hortolandia HTL4,2020,Construção,66.08,
Ascenty - Hortolandia HTL4,2021,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2021,Grama,9.36,
Ascenty - Hortolandia HTL4,2021,Solo exposto,3.8,
Ascenty - Hortolandia HTL4,2021,Construção,86.84,
Ascenty - Hortolandia HTL4,2022,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2022,Grama,9.94,
Ascenty - Hortolandia HTL4,2022,Solo exposto,2.92,
Ascenty - Hortolandia HTL4,2022,Construção,87.13,
Ascenty - Hortolandia HTL4,2023,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2023,Grama,11.73,
Ascenty - Hortolandia HTL4,2023,Solo exposto,1.47,
Ascenty - Hortolandia HTL4,2023,Construção,86.8,
Ascenty - Hortolandia HTL4,2024,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2024,Grama,8.48,
Ascenty - Hortolandia HTL4,2024,Solo exposto,0.58,
Ascenty - Hortolandia HTL4,2024,Construção,90.94,
Ascenty - Hortolandia HTL4,2025,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2025,Grama,9.06,
Ascenty - Hortolandia HTL4,2025,Solo exposto,1.17,
Ascenty - Hortolandia HTL4,2025,Construção,89.77,
Ascenty - Hortolandia HTL4,2026,Vegetação densa,0.0,
Ascenty - Hortolandia HTL4,2026,Grama,13.45,
Ascenty - Hortolandia HTL4,2026,Solo exposto,0.29,
Ascenty - Hortolandia HTL4,2026,Construção,86.26,
