name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Jundiai JDI2,2016,Vegetação densa,12.87,2020
Ascenty - Jundiai JDI2,2016,Grama,29.24,2020
Ascenty - Jundiai JDI2,2016,Solo exposto,0.29,2020
Ascenty - Jundiai JDI2,2016,Construção,57.6,2020
Ascenty - Jundiai JDI2,2017,Vegetação densa,12.87,2020
Ascenty - Jundiai JDI2,2017,Grama,27.49,2020
Ascenty - Jundiai JDI2,2017,Solo exposto,0.29,2020
Ascenty - Jundiai JDI2,2017,Construção,59.36,2020
Ascenty - Jundiai JDI2,2018,Vegetação densa,16.08,2020
Ascenty - Jundiai JDI2,2018,Grama,17.84,2020
Ascenty - Jundiai JDI2,2018,Solo exposto,0.29,2020
Ascenty - Jundiai JDI2,2018,Construção,65.79,2020
Ascenty - Jundiai JDI2,2019,Vegetação densa,17.84,2020
Ascenty - Jundiai JDI2,2019,Grama,18.71,2020
Ascenty - Jundiai JDI2,2019,Solo exposto,0.88,2020
Ascenty - Jundiai JDI2,2019,Construção,62.57,2020
Ascenty - Jundiai JDI2,2020,Vegetação densa,17.84,2020
Ascenty - Jundiai JDI2,2020,Grama,15.2,2020
Ascenty - Jundiai JDI2,2020,Solo exposto,0.88,2020
Ascenty - Jundiai JDI2,2020,Construção,66.08,2020
Ascenty - Jundiai JDI2,2021,Vegetação densa,13.45,2020
Ascenty - Jundiai JDI2,2021,Grama,18.71,2020
Ascenty - Jundiai JDI2,2021,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2021,Construção,67.84,2020
Ascenty - Jundiai JDI2,2022,Vegetação densa,17.84,2020
Ascenty - Jundiai JDI2,2022,Grama,19.88,2020
Ascenty - Jundiai JDI2,2022,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2022,Construção,62.28,2020
Ascenty - Jundiai JDI2,2023,Vegetação densa,18.71,2020
Ascenty - Jundiai JDI2,2023,Grama,21.05,2020
Ascenty - Jundiai JDI2,2023,Solo exposto,0.58,2020
Ascenty - Jundiai JDI2,2023,Construção,59.65,2020
Ascenty - Jundiai JDI2,2024,Vegetação densa,18.13,2020
Ascenty - Jundiai JDI2,2024,Grama,18.13,2020
Ascenty - Jundiai JDI2,2024,Solo exposto,0.29,2020
Ascenty - Jundiai JDI2,2024,Construção,63.45,2020
Ascenty - Jundiai JDI2,2025,Vegetação densa,18.13,2020
Ascenty - Jundiai JDI2,2025,Grama,31.58,2020
Ascenty - Jundiai JDI2,2025,Solo exposto,0.29,2020
Ascenty - Jundiai JDI2,2025,Construção,50.0,2020
Ascenty - Jundiai JDI2,2026,Vegetação densa,13.74,2020
Ascenty - Jundiai JDI2,2026,Grama,37.72,2020
Ascenty - Jundiai JDI2,2026,Solo exposto,0.58,2020
Ascenty - Jundiai JDI2,2026,Construção,47.95,2020
