name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Paulinia PLN1,2016,Vegetação densa,2.05,2019
Ascenty - Paulinia PLN1,2016,Grama,53.51,2019
Ascenty - Paulinia PLN1,2016,Solo exposto,8.48,2019
Ascenty - Paulinia PLN1,2016,Construção,35.96,2019
Ascenty - Paulinia PLN1,2017,Vegetação densa,1.75,2019
Ascenty - Paulinia PLN1,2017,Grama,50.0,2019
Ascenty - Paulinia PLN1,2017,Solo exposto,8.77,2019
Ascenty - Paulinia PLN1,2017,Construção,39.47,2019
Ascenty - Paulinia PLN1,2018,Vegetação densa,1.17,2019
Ascenty - Paulinia PLN1,2018,Grama,36.55,2019
Ascenty - Paulinia PLN1,2018,Solo exposto,11.4,2019
Ascenty - Paulinia PLN1,2018,Construção,50.88,2019
Ascenty - Paulinia PLN1,2019,Vegetação densa,2.34,2019
Ascenty - Paulinia PLN1,2019,Grama,41.52,2019
Ascenty - Paulinia PLN1,2019,Solo exposto,14.33,2019
Ascenty - Paulinia PLN1,2019,Construção,41.81,2019
Ascenty - Paulinia PLN1,2020,Vegetação densa,1.75,2019
Ascenty - Paulinia PLN1,2020,Grama,35.09,2019
Ascenty - Paulinia PLN1,2020,Solo exposto,10.82,2019
Ascenty - Paulinia PLN1,2020,Construção,52.34,2019
Ascenty - Paulinia PLN1,2021,Vegetação densa,2.05,2019
Ascenty - Paulinia PLN1,2021,Grama,39.47,2019
Ascenty - Paulinia PLN1,2021,Solo exposto,9.36,2019
Ascenty - Paulinia PLN1,2021,Construção,49.12,2019
Ascenty - Paulinia PLN1,2022,Vegetação densa,2.05,2019
Ascenty - Paulinia PLN1,2022,Grama,46.78,2019
Ascenty - Paulinia PLN1,2022,Solo exposto,4.97,2019
Ascenty - Paulinia PLN1,2022,Construção,46.2,2019
Ascenty - Paulinia PLN1,2023,Vegetação densa,4.39,2019
Ascenty - Paulinia PLN1,2023,Grama,47.08,2019
Ascenty - Paulinia PLN1,2023,Solo exposto,2.63,2019
Ascenty - Paulinia PLN1,2023,Construção,45.91,2019
Ascenty - Paulinia PLN1,2024,Vegetação densa,3.51,2019
Ascenty - Paulinia PLN1,2024,Grama,35.96,2019
Ascenty - Paulinia PLN1,2024,Solo exposto,16.08,2019
Ascenty - Paulinia PLN1,2024,Construção,44.44,2019
Ascenty - Paulinia PLN1,2025,Vegetação densa,7.6,2019
Ascenty - Paulinia PLN1,2025,Grama,40.35,2019
Ascenty - Paulinia PLN1,2025,Solo exposto,6.73,2019
Ascenty - Paulinia PLN1,2025,Construção,45.32,2019
Ascenty - Paulinia PLN1,2026,Vegetação densa,7.31,2019
Ascenty - Paulinia PLN1,2026,Grama,40.35,2019
Ascenty - Paulinia PLN1,2026,Solo exposto,8.19,2019
Ascenty - Paulinia PLN1,2026,Construção,44.15,2019
