name_datacenter,ano,classe,percentual,ano_operacional_referencia
Data Center Marechal Rondon,2016,Vegetação densa,9.91,
Data Center Marechal Rondon,2016,Grama,17.34,
Data Center Marechal Rondon,2016,Solo exposto,0.31,
Data Center Marechal Rondon,2016,Construção,72.45,
Data Center Marechal Rondon,2017,Vegetação densa,4.64,
Data Center Marechal Rondon,2017,Grama,12.38,
Data Center Marechal Rondon,2017,Solo exposto,0.0,
Data Center Marechal Rondon,2017,Construção,82.97,
Data Center Marechal Rondon,2018,Vegetação densa,2.48,
Data Center Marechal Rondon,2018,Grama,15.48,
Data Center Marechal Rondon,2018,Solo exposto,0.0,
Data Center Marechal Rondon,2018,Construção,82.04,
Data Center Marechal Rondon,2019,Vegetação densa,10.53,
Data Center Marechal Rondon,2019,Grama,17.34,
Data Center Marechal Rondon,2019,Solo exposto,0.0,
Data Center Marechal Rondon,2019,Construção,72.14,
Data Center Marechal Rondon,2020,Vegetação densa,8.05,
Data Center Marechal Rondon,2020,Grama,21.05,
Data Center Marechal Rondon,2020,Solo exposto,0.0,
Data Center Marechal Rondon,2020,Construção,70.9,
Data Center Marechal Rondon,2021,Vegetação densa,4.95,
Data Center Marechal Rondon,2021,Grama,18.27,
Data Center Marechal Rondon,2021,Solo exposto,0.0,
Data Center Marechal Rondon,2021,Construção,76.78,
Data Center Marechal Rondon,2022,Vegetação densa,2.48,
Data Center Marechal Rondon,2022,Grama,18.89,
Data Center Marechal Rondon,2022,Solo exposto,0.0,
Data Center Marechal Rondon,2022,Construção,78.64,
Data Center Marechal Rondon,2023,Vegetação densa,5.26,
Data Center Marechal Rondon,2023,Grama,18.27,
Data Center Marechal Rondon,2023,Solo exposto,0.0,
Data Center Marechal Rondon,2023,Construção,76.47,
Data Center Marechal Rondon,2024,Vegetação densa,8.98,
Data Center Marechal Rondon,2024,Grama,19.5,
Data Center Marechal Rondon,2024,Solo exposto,0.0,
Data Center Marechal Rondon,2024,Construção,71.52,
Data Center Marechal Rondon,2025,Vegetação densa,8.36,
Data Center Marechal Rondon,2025,Grama,20.43,
Data Center Marechal Rondon,2025,Solo exposto,0.0,
Data Center Marechal Rondon,2025,Construção,71.21,
Data Center Marechal Rondon,2026,Vegetação densa,8.05,
Data Center Marechal Rondon,2026,Grama,25.39,
Data Center Marechal Rondon,2026,Solo exposto,0.0,
Data Center Marechal Rondon,2026,Construção,66.56,
