name_datacenter,ano,classe,percentual,ano_operacional_referencia
Equinix SP5x,2016,Vegetação densa,12.35,2022
Equinix SP5x,2016,Grama,45.88,2022
Equinix SP5x,2016,Solo exposto,2.35,2022
Equinix SP5x,2016,Construção,39.41,2022
Equinix SP5x,2017,Vegetação densa,8.53,2022
Equinix SP5x,2017,Grama,45.88,2022
Equinix SP5x,2017,Solo exposto,2.65,2022
Equinix SP5x,2017,Construção,42.94,2022
Equinix SP5x,2018,Vegetação densa,9.12,2022
Equinix SP5x,2018,Grama,47.35,2022
Equinix SP5x,2018,Solo exposto,1.18,2022
Equinix SP5x,2018,Construção,42.35,2022
Equinix SP5x,2019,Vegetação densa,13.24,2022
Equinix SP5x,2019,Grama,47.35,2022
Equinix SP5x,2019,Solo exposto,0.88,2022
Equinix SP5x,2019,Construção,38.53,2022
Equinix SP5x,2020,Vegetação densa,13.24,2022
Equinix SP5x,2020,Grama,35.59,2022
Equinix SP5x,2020,Solo exposto,2.65,2022
Equinix SP5x,2020,Construção,48.53,2022
Equinix SP5x,2021,Vegetação densa,7.35,2022
Equinix SP5x,2021,Grama,40.59,2022
Equinix SP5x,2021,Solo exposto,0.88,2022
Equinix SP5x,2021,Construção,51.18,2022
Equinix SP5x,2022,Vegetação densa,15.59,2022
Equinix SP5x,2022,Grama,42.06,2022
Equinix SP5x,2022,Solo exposto,0.29,2022
Equinix SP5x,2022,Construção,42.06,2022
Equinix SP5x,2023,Vegetação densa,14.71,2022
Equinix SP5x,2023,Grama,40.59,2022
Equinix SP5x,2023,Solo exposto,0.29,2022
Equinix SP5x,2023,Construção,44.41,2022
Equinix SP5x,2024,Vegetação densa,11.76,2022
Equinix SP5x,2024,Grama,40.59,2022
Equinix SP5x,2024,Solo exposto,0.59,2022
Equinix SP5x,2024,Construção,47.06,2022
Equinix SP5x,2025,Vegetação densa,16.02,2022
Equinix SP5x,2025,Grama,42.73,2022
Equinix SP5x,2025,Solo exposto,0.0,2022
Equinix SP5x,2025,Construção,41.25,2022
Equinix SP5x,2026,Vegetação densa,21.47,2022
Equinix SP5x,2026,Grama,39.41,2022
Equinix SP5x,2026,Solo exposto,0.0,2022
Equinix SP5x,2026,Construção,39.12,2022
