name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA RJ01,2016,Vegetação densa,0.0,2025
ODATA RJ01,2016,Grama,13.31,2025
ODATA RJ01,2016,Solo exposto,0.0,2025
ODATA RJ01,2016,Construção,86.69,2025
ODATA RJ01,2017,Vegetação densa,0.0,2025
ODATA RJ01,2017,Grama,22.29,2025
ODATA RJ01,2017,Solo exposto,0.0,2025
ODATA RJ01,2017,Construção,77.71,2025
ODATA RJ01,2018,Vegetação densa,0.0,2025
ODATA RJ01,2018,Grama,17.96,2025
ODATA RJ01,2018,Solo exposto,0.0,2025
ODATA RJ01,2018,Construção,82.04,2025
ODATA RJ01,2019,Vegetação densa,0.0,2025
ODATA RJ01,2019,Grama,15.48,2025
ODATA RJ01,2019,Solo exposto,0.0,2025
ODATA RJ01,2019,Construção,84.52,2025
ODATA RJ01,2020,Vegetação densa,0.31,2025
ODATA RJ01,2020,Grama,17.96,2025
ODATA RJ01,2020,Solo exposto,0.0,2025
ODATA RJ01,2020,Construção,81.73,2025
ODATA RJ01,2021,Vegetação densa,0.0,2025
ODATA RJ01,2021,Grama,17.03,2025
ODATA RJ01,2021,Solo exposto,0.0,2025
ODATA RJ01,2021,Construção,82.97,2025
ODATA RJ01,2022,Vegetação densa,0.0,2025
ODATA RJ01,2022,Grama,14.24,2025
ODATA RJ01,2022,Solo exposto,0.0,2025
ODATA RJ01,2022,Construção,85.76,2025
ODATA RJ01,2023,Vegetação densa,0.62,2025
ODATA RJ01,2023,Grama,6.19,2025
ODATA RJ01,2023,Solo exposto,1.55,2025
ODATA RJ01,2023,Construção,91.64,2025
ODATA RJ01,2024,Vegetação densa,0.0,2025
ODATA RJ01,2024,Grama,4.64,2025
ODATA RJ01,2024,Solo exposto,3.41,2025
ODATA RJ01,2024,Construção,91.95,2025
ODATA RJ01,2025,Vegetação densa,0.0,2025
ODATA RJ01,2025,Grama,9.6,2025
ODATA RJ01,2025,Solo exposto,0.93,2025
ODATA RJ01,2025,Construção,89.47,2025
ODATA RJ01,2026,Vegetação densa,0.0,2025
ODATA RJ01,2026,Grama,10.53,2025
ODATA RJ01,2026,Solo exposto,0.0,2025
ODATA RJ01,2026,Construção,89.47,2025
