name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA SP02 DC1,2016,Vegetação densa,7.6,2020
ODATA SP02 DC1,2016,Grama,39.47,2020
ODATA SP02 DC1,2016,Solo exposto,10.53,2020
ODATA SP02 DC1,2016,Construção,42.4,2020
ODATA SP02 DC1,2017,Vegetação densa,7.89,2020
ODATA SP02 DC1,2017,Grama,33.92,2020
ODATA SP02 DC1,2017,Solo exposto,8.48,2020
ODATA SP02 DC1,2017,Construção,49.71,2020
ODATA SP02 DC1,2018,Vegetação densa,5.26,2020
ODATA SP02 DC1,2018,Grama,35.96,2020
ODATA SP02 DC1,2018,Solo exposto,8.48,2020
ODATA SP02 DC1,2018,Construção,50.29,2020
ODATA SP02 DC1,2019,Vegetação densa,6.14,2020
ODATA SP02 DC1,2019,Grama,35.67,2020
ODATA SP02 DC1,2019,Solo exposto,13.16,2020
ODATA SP02 DC1,2019,Construção,45.03,2020
ODATA SP02 DC1,2020,Vegetação densa,7.02,2020
ODATA SP02 DC1,2020,Grama,25.15,2020
ODATA SP02 DC1,2020,Solo exposto,15.2,2020
ODATA SP02 DC1,2020,Construção,52.63,2020
ODATA SP02 DC1,2021,Vegetação densa,4.39,2020
ODATA SP02 DC1,2021,Grama,28.36,2020
ODATA SP02 DC1,2021,Solo exposto,9.36,2020
ODATA SP02 DC1,2021,Construção,57.89,2020
ODATA SP02 DC1,2022,Vegetação densa,6.14,2020
ODATA SP02 DC1,2022,Grama,31.87,2020
ODATA SP02 DC1,2022,Solo exposto,11.7,2020
ODATA SP02 DC1,2022,Construção,50.29,2020
ODATA SP02 DC1,2023,Vegetação densa,5.56,2020
ODATA SP02 DC1,2023,Grama,32.46,2020
ODATA SP02 DC1,2023,Solo exposto,12.57,2020
ODATA SP02 DC1,2023,Construção,49.42,2020
ODATA SP02 DC1,2024,Vegetação densa,4.68,2020
ODATA SP02 DC1,2024,Grama,20.47,2020
ODATA SP02 DC1,2024,Solo exposto,23.68,2020
ODATA SP02 DC1,2024,Construção,51.17,2020
ODATA SP02 DC1,2025,Vegetação densa,7.31,2020
ODATA SP02 DC1,2025,Grama,18.13,2020
ODATA SP02 DC1,2025,Solo exposto,16.96,2020
ODATA SP02 DC1,2025,Construção,57.6,2020
ODATA SP02 DC1,2026,Vegetação densa,7.6,2020
ODATA SP02 DC1,2026,Grama,33.04,2020
ODATA SP02 DC1,2026,Solo exposto,4.97,2020
ODATA SP02 DC1,2026,Construção,54.39,2020
