name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA SP03,2016,Vegetação densa,0.0,
ODATA SP03,2016,Grama,13.16,
ODATA SP03,2016,Solo exposto,0.0,
ODATA SP03,2016,Construção,86.84,
ODATA SP03,2017,Vegetação densa,0.0,
ODATA SP03,2017,Grama,7.6,
ODATA SP03,2017,Solo exposto,0.0,
ODATA SP03,2017,Construção,92.4,
ODATA SP03,2018,Vegetação densa,0.0,
ODATA SP03,2018,Grama,8.77,
ODATA SP03,2018,Solo exposto,0.58,
ODATA SP03,2018,Construção,90.64,
ODATA SP03,2019,Vegetação densa,0.0,
ODATA SP03,2019,Grama,11.4,
ODATA SP03,2019,Solo exposto,0.29,
ODATA SP03,2019,Construção,88.3,
ODATA SP03,2020,Vegetação densa,0.29,
ODATA SP03,2020,Grama,10.26,
ODATA SP03,2020,Solo exposto,0.29,
ODATA SP03,2020,Construção,89.15,
ODATA SP03,2021,Vegetação densa,0.0,
ODATA SP03,2021,Grama,10.68,
ODATA SP03,2021,Solo exposto,0.59,
ODATA SP03,2021,Construção,88.72,
ODATA SP03,2022,Vegetação densa,0.0,
ODATA SP03,2022,Grama,10.23,
ODATA SP03,2022,Solo exposto,0.29,
ODATA SP03,2022,Construção,89.47,
ODATA SP03,2023,Vegetação densa,0.0,
ODATA SP03,2023,Grama,11.7,
ODATA SP03,2023,Solo exposto,0.0,
ODATA SP03,2023,Construção,88.3,
ODATA SP03,2024,Vegetação densa,0.0,
ODATA SP03,2024,Grama,11.4,
ODATA SP03,2024,Solo exposto,0.0,
ODATA SP03,2024,Construção,88.6,
ODATA SP03,2025,Vegetação densa,0.0,
ODATA SP03,2025,Grama,11.11,
ODATA SP03,2025,Solo exposto,0.29,
ODATA SP03,2025,Construção,88.6,
ODATA SP03,2026,Vegetação densa,0.0,
ODATA SP03,2026,Grama,16.67,
ODATA SP03,2026,Solo exposto,0.29,
ODATA SP03,2026,Construção,83.04,
