name_datacenter,ano,classe,percentual,ano_operacional_referencia
Quântico Data Center,2016,Vegetação densa,39.15,2021
Quântico Data Center,2016,Grama,15.61,2021
Quântico Data Center,2016,Solo exposto,18.25,2021
Quântico Data Center,2016,Construção,26.98,2021
Quântico Data Center,2017,Vegetação densa,30.16,2021
Quântico Data Center,2017,Grama,19.84,2021
Quântico Data Center,2017,Solo exposto,19.31,2021
Quântico Data Center,2017,Construção,30.69,2021
Quântico Data Center,2018,Vegetação densa,26.4,2021
Quântico Data Center,2018,Grama,18.67,2021
Quântico Data Center,2018,Solo exposto,9.33,2021
Quântico Data Center,2018,Construção,45.6,2021
Quântico Data Center,2019,Vegetação densa,27.93,2021
Quântico Data Center,2019,Grama,15.16,2021
Quântico Data Center,2019,Solo exposto,6.65,2021
Quântico Data Center,2019,Construção,50.27,2021
Quântico Data Center,2020,Vegetação densa,26.2,2021
Quântico Data Center,2020,Grama,15.24,2021
Quântico Data Center,2020,Solo exposto,13.1,2021
Quântico Data Center,2020,Construção,45.45,2021
Quântico Data Center,2021,Vegetação densa,24.87,2021
Quântico Data Center,2021,Grama,17.72,2021
Quântico Data Center,2021,Solo exposto,3.97,2021
Quântico Data Center,2021,Construção,53.44,2021
Quântico Data Center,2022,Vegetação densa,25.8,2021
Quântico Data Center,2022,Grama,23.4,2021
Quântico Data Center,2022,Solo exposto,6.12,2021
Quântico Data Center,2022,Construção,44.68,2021
Quântico Data Center,2023,Vegetação densa,21.43,2021
Quântico Data Center,2023,Grama,29.63,2021
Quântico Data Center,2023,Solo exposto,1.85,2021
Quântico Data Center,2023,Construção,47.09,2021
Quântico Data Center,2024,Vegetação densa,22.75,2021
Quântico Data Center,2024,Grama,34.66,2021
Quântico Data Center,2024,Solo exposto,0.53,2021
Quântico Data Center,2024,Construção,42.06,2021
Quântico Data Center,2025,Vegetação densa,17.72,2021
Quântico Data Center,2025,Grama,47.88,2021
Quântico Data Center,2025,Solo exposto,0.26,2021
Quântico Data Center,2025,Construção,34.13,2021
Quântico Data Center,2026,Vegetação densa,16.4,2021
Quântico Data Center,2026,Grama,53.17,2021
Quântico Data Center,2026,Solo exposto,0.53,2021
Quântico Data Center,2026,Construção,29.89,2021
