name_datacenter,ano,classe,percentual,ano_operacional_referencia
TO HOST Data Centers,2016,Vegetação densa,0.0,2023
TO HOST Data Centers,2016,Grama,10.8,2023
TO HOST Data Centers,2016,Solo exposto,0.93,2023
TO HOST Data Centers,2016,Construção,88.27,2023
TO HOST Data Centers,2017,Vegetação densa,0.0,2023
TO HOST Data Centers,2017,Grama,8.95,2023
TO HOST Data Centers,2017,Solo exposto,2.47,2023
TO HOST Data Centers,2017,Construção,88.58,2023
TO HOST Data Centers,2018,Vegetação densa,0.0,2023
TO HOST Data Centers,2018,Grama,14.2,2023
TO HOST Data Centers,2018,Solo exposto,1.54,2023
TO HOST Data Centers,2018,Construção,84.26,2023
TO HOST Data Centers,2019,Vegetação densa,0.0,2023
TO HOST Data Centers,2019,Grama,6.17,2023
TO HOST Data Centers,2019,Solo exposto,0.62,2023
TO HOST Data Centers,2019,Construção,93.21,2023
TO HOST Data Centers,2020,Vegetação densa,0.0,2023
TO HOST Data Centers,2020,Grama,11.42,2023
TO HOST Data Centers,2020,Solo exposto,1.23,2023
TO HOST Data Centers,2020,Construção,87.35,2023
TO HOST Data Centers,2021,Vegetação densa,0.0,2023
TO HOST Data Centers,2021,Grama,10.19,2023
TO HOST Data Centers,2021,Solo exposto,1.54,2023
TO HOST Data Centers,2021,Construção,88.27,2023
TO HOST Data Centers,2022,Vegetação densa,0.0,2023
TO HOST Data Centers,2022,Grama,8.33,2023
TO HOST Data Centers,2022,Solo exposto,0.31,2023
TO HOST Data Centers,2022,Construção,91.36,2023
TO HOST Data Centers,2023,Vegetação densa,0.0,2023
TO HOST Data Centers,2023,Grama,8.95,2023
TO HOST Data Centers,2023,Solo exposto,0.0,2023
TO HOST Data Centers,2023,Construção,91.05,2023
TO HOST Data Centers,2024,Vegetação densa,0.0,2023
TO HOST Data Centers,2024,Grama,7.41,2023
TO HOST Data Centers,2024,Solo exposto,0.93,2023
TO HOST Data Centers,2024,Construção,91.67,2023
TO HOST Data Centers,2025,Vegetação densa,0.0,2023
TO HOST Data Centers,2025,Grama,8.64,2023
TO HOST Data Centers,2025,Solo exposto,3.4,2023
TO HOST Data Centers,2025,Construção,87.96,2023
TO HOST Data Centers,2026,Vegetação densa,0.0,2023
TO HOST Data Centers,2026,Grama,8.64,2023
TO HOST Data Centers,2026,Solo exposto,2.47,2023
TO HOST Data Centers,2026,Construção,88.89,2023
