name_datacenter,ano,classe,percentual,ano_operacional_referencia
ASAP SP1,2016,Vegetação densa,0.58,2022
ASAP SP1,2016,Grama,13.16,2022
ASAP SP1,2016,Solo exposto,0.58,2022
ASAP SP1,2016,Construção,85.67,2022
ASAP SP1,2017,Vegetação densa,0.88,2022
ASAP SP1,2017,Grama,8.19,2022
ASAP SP1,2017,Solo exposto,0.58,2022
ASAP SP1,2017,Construção,90.35,2022
ASAP SP1,2018,Vegetação densa,0.58,2022
ASAP SP1,2018,Grama,11.11,2022
ASAP SP1,2018,Solo exposto,0.58,2022
ASAP SP1,2018,Construção,87.72,2022
ASAP SP1,2019,Vegetação densa,2.05,2022
ASAP SP1,2019,Grama,10.23,2022
ASAP SP1,2019,Solo exposto,0.29,2022
ASAP SP1,2019,Construção,87.43,2022
ASAP SP1,2020,Vegetação densa,1.17,2022
ASAP SP1,2020,Grama,11.4,2022
ASAP SP1,2020,Solo exposto,1.75,2022
ASAP SP1,2020,Construção,85.67,2022
ASAP SP1,2021,Vegetação densa,0.58,2022
ASAP SP1,2021,Grama,11.11,2022
ASAP SP1,2021,Solo exposto,0.29,2022
ASAP SP1,2021,Construção,88.01,2022
ASAP SP1,2022,Vegetação densa,0.88,2022
ASAP SP1,2022,Grama,14.04,2022
ASAP SP1,2022,Solo exposto,0.0,2022
ASAP SP1,2022,Construção,85.09,2022
ASAP SP1,2023,Vegetação densa,0.88,2022
ASAP SP1,2023,Grama,14.91,2022
ASAP SP1,2023,Solo exposto,0.0,2022
ASAP SP1,2023,Construção,84.21,2022
ASAP SP1,2024,Vegetação densa,1.17,2022
ASAP SP1,2024,Grama,12.28,2022
ASAP SP1,2024,Solo exposto,0.58,2022
ASAP SP1,2024,Construção,85.96,2022
ASAP SP1,2025,Vegetação densa,1.46,2022
ASAP SP1,2025,Grama,16.96,2022
ASAP SP1,2025,Solo exposto,0.0,2022
ASAP SP1,2025,Construção,81.58,2022
ASAP SP1,2026,Vegetação densa,2.11,2022
ASAP SP1,2026,Grama,21.39,2022
ASAP SP1,2026,Solo exposto,0.9,2022
ASAP SP1,2026,Construção,75.6,2022
Adentro DC Porto Alegre,2016,Vegetação densa,0.0,
Adentro DC Porto Alegre,2016,Grama,9.22,
Adentro DC Porto Alegre,2016,Solo exposto,0.71,
Adentro DC Porto Alegre,2016,Construção,90.07,
Adentro DC Porto Alegre,2017,Vegetação densa,0.0,
Adentro DC Porto Alegre,2017,Grama,4.44,
Adentro DC Porto Alegre,2017,Solo exposto,0.0,
Adentro DC Porto Alegre,2017,Construção,95.56,
Adentro DC Porto Alegre,2018,Vegetação densa,0.0,
Adentro DC Porto Alegre,2018,Grama,5.6,
Adentro DC Porto Alegre,2018,Solo exposto,0.0,
Adentro DC Porto Alegre,2018,Construção,94.4,
Adentro DC Porto Alegre,2019,Vegetação densa,0.0,
Adentro DC Porto Alegre,2019,Grama,8.33,
Adentro DC Porto Alegre,2019,Solo exposto,0.28,
Adentro DC Porto Alegre,2019,Construção,91.39,
Adentro DC Porto Alegre,2020,Vegetação densa,0.0,
Adentro DC Porto Alegre,2020,Grama,11.32,
Adentro DC Porto Alegre,2020,Solo exposto,0.0,
Adentro DC Porto Alegre,2020,Construção,88.68,
Adentro DC Porto Alegre,2021,Vegetação densa,0.0,
Adentro DC Porto Alegre,2021,Grama,6.15,
Adentro DC Porto Alegre,2021,Solo exposto,0.28,
Adentro DC Porto Alegre,2021,Construção,93.58,
Adentro DC Porto Alegre,2022,Vegetação densa,0.0,
Adentro DC Porto Alegre,2022,Grama,10.17,
Adentro DC Porto Alegre,2022,Solo exposto,0.0,
Adentro DC Porto Alegre,2022,Construção,89.83,
Adentro DC Porto Alegre,2023,Vegetação densa,0.0,
Adentro DC Porto Alegre,2023,Grama,8.89,
Adentro DC Porto Alegre,2023,Solo exposto,0.0,
Adentro DC Porto Alegre,2023,Construção,91.11,
Adentro DC Porto Alegre,2024,Vegetação densa,0.0,
Adentro DC Porto Alegre,2024,Grama,11.39,
Adentro DC Porto Alegre,2024,Solo exposto,0.0,
Adentro DC Porto Alegre,2024,Construção,88.61,
Adentro DC Porto Alegre,2025,Vegetação densa,0.0,
Adentro DC Porto Alegre,2025,Grama,8.88,
Adentro DC Porto Alegre,2025,Solo exposto,0.29,
Adentro DC Porto Alegre,2025,Construção,90.83,
Adentro DC Porto Alegre,2026,Vegetação densa,0.56,
Adentro DC Porto Alegre,2026,Grama,11.39,
Adentro DC Porto Alegre,2026,Solo exposto,0.28,
Adentro DC Porto Alegre,2026,Construção,87.78,
Algar Tech Uberlandia - Granja Marileusa,2016,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2016,Grama,46.91,
Algar Tech Uberlandia - Granja Marileusa,2016,Solo exposto,2.78,
Algar Tech Uberlandia - Granja Marileusa,2016,Construção,36.11,
Algar Tech Uberlandia - Granja Marileusa,2017,Vegetação densa,16.36,
Algar Tech Uberlandia - Granja Marileusa,2017,Grama,45.37,
Algar Tech Uberlandia - Granja Marileusa,2017,Solo exposto,4.63,
Algar Tech Uberlandia - Granja Marileusa,2017,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2018,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2018,Grama,45.68,
Algar Tech Uberlandia - Granja Marileusa,2018,Solo exposto,6.48,
Algar Tech Uberlandia - Granja Marileusa,2018,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2019,Vegetação densa,13.58,
Algar Tech Uberlandia - Granja Marileusa,2019,Grama,48.77,
Algar Tech Uberlandia - Granja Marileusa,2019,Solo exposto,5.56,
Algar Tech Uberlandia - Granja Marileusa,2019,Construção,32.1,
Algar Tech Uberlandia - Granja Marileusa,2020,Vegetação densa,15.43,
Algar Tech Uberlandia - Granja Marileusa,2020,Grama,56.79,
Algar Tech Uberlandia - Granja Marileusa,2020,Solo exposto,1.23,
Algar Tech Uberlandia - Granja Marileusa,2020,Construção,26.54,
Algar Tech Uberlandia - Granja Marileusa,2021,Vegetação densa,14.81,
Algar Tech Uberlandia - Granja Marileusa,2021,Grama,47.84,
Algar Tech Uberlandia - Granja Marileusa,2021,Solo exposto,3.7,
Algar Tech Uberlandia - Granja Marileusa,2021,Construção,33.64,
Algar Tech Uberlandia - Granja Marileusa,2022,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2022,Grama,48.46,
Algar Tech Uberlandia - Granja Marileusa,2022,Solo exposto,0.93,
Algar Tech Uberlandia - Granja Marileusa,2022,Construção,36.42,
Algar Tech Uberlandia - Granja Marileusa,2023,Vegetação densa,14.51,
Algar Tech Uberlandia - Granja Marileusa,2023,Grama,50.0,
Algar Tech Uberlandia - Granja Marileusa,2023,Solo exposto,1.23,
Algar Tech Uberlandia - Granja Marileusa,2023,Construção,34.26,
Algar Tech Uberlandia - Granja Marileusa,2024,Vegetação densa,14.51,
Algar Tech Uberlandia - Granja Marileusa,2024,Grama,43.21,
Algar Tech Uberlandia - Granja Marileusa,2024,Solo exposto,2.47,
Algar Tech Uberlandia - Granja Marileusa,2024,Construção,39.81,
Algar Tech Uberlandia - Granja Marileusa,2025,Vegetação densa,12.04,
Algar Tech Uberlandia - Granja Marileusa,2025,Grama,51.23,
Algar Tech Uberlandia - Granja Marileusa,2025,Solo exposto,6.48,
Algar Tech Uberlandia - Granja Marileusa,2025,Construção,30.25,
Algar Tech Uberlandia - Granja Marileusa,2026,Vegetação densa,14.2,
Algar Tech Uberlandia - Granja Marileusa,2026,Grama,51.85,
Algar Tech Uberlandia - Granja Marileusa,2026,Solo exposto,2.78,
Algar Tech Uberlandia - Granja Marileusa,2026,Construção,31.17,
Algar Tech Uberlandia - Jaraguá,2016,Vegetação densa,1.85,
Algar Tech Uberlandia - Jaraguá,2016,Grama,29.63,
Algar Tech Uberlandia - Jaraguá,2016,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2016,Construção,67.9,
Algar Tech Uberlandia - Jaraguá,2017,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2017,Grama,28.4,
Algar Tech Uberlandia - Jaraguá,2017,Solo exposto,0.31,
Algar Tech Uberlandia - Jaraguá,2017,Construção,71.3,
Algar Tech Uberlandia - Jaraguá,2018,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2018,Grama,30.56,
Algar Tech Uberlandia - Jaraguá,2018,Solo exposto,1.54,
Algar Tech Uberlandia - Jaraguá,2018,Construção,67.59,
Algar Tech Uberlandia - Jaraguá,2019,Vegetação densa,0.62,
Algar Tech Uberlandia - Jaraguá,2019,Grama,31.48,
Algar Tech Uberlandia - Jaraguá,2019,Solo exposto,0.93,
Algar Tech Uberlandia - Jaraguá,2019,Construção,66.98,
Algar Tech Uberlandia - Jaraguá,2020,Vegetação densa,0.93,
Algar Tech Uberlandia - Jaraguá,2020,Grama,38.58,
Algar Tech Uberlandia - Jaraguá,2020,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2020,Construção,59.88,
Algar Tech Uberlandia - Jaraguá,2021,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2021,Grama,24.69,
Algar Tech Uberlandia - Jaraguá,2021,Solo exposto,2.47,
Algar Tech Uberlandia - Jaraguá,2021,Construção,72.53,
Algar Tech Uberlandia - Jaraguá,2022,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2022,Grama,26.85,
Algar Tech Uberlandia - Jaraguá,2022,Solo exposto,0.31,
Algar Tech Uberlandia - Jaraguá,2022,Construção,72.84,
Algar Tech Uberlandia - Jaraguá,2023,Vegetação densa,0.31,
Algar Tech Uberlandia - Jaraguá,2023,Grama,34.57,
Algar Tech Uberlandia - Jaraguá,2023,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2023,Construção,64.51,
Algar Tech Uberlandia - Jaraguá,2024,Vegetação densa,0.0,
Algar Tech Uberlandia - Jaraguá,2024,Grama,21.3,
Algar Tech Uberlandia - Jaraguá,2024,Solo exposto,4.01,
Algar Tech Uberlandia - Jaraguá,2024,Construção,74.69,
Algar Tech Uberlandia - Jaraguá,2025,Vegetação densa,1.23,
Algar Tech Uberlandia - Jaraguá,2025,Grama,34.26,
Algar Tech Uberlandia - Jaraguá,2025,Solo exposto,1.54,
Algar Tech Uberlandia - Jaraguá,2025,Construção,62.96,
Algar Tech Uberlandia - Jaraguá,2026,Vegetação densa,1.54,
Algar Tech Uberlandia - Jaraguá,2026,Grama,33.95,
Algar Tech Uberlandia - Jaraguá,2026,Solo exposto,0.62,
Algar Tech Uberlandia - Jaraguá,2026,Construção,63.89,
AngoNAP Fortaleza,2016,Vegetação densa,0.0,
AngoNAP Fortaleza,2016,Grama,16.99,
AngoNAP Fortaleza,2016,Solo exposto,0.98,
AngoNAP Fortaleza,2016,Construção,82.03,
AngoNAP Fortaleza,2017,Vegetação densa,0.0,
AngoNAP Fortaleza,2017,Grama,31.7,
AngoNAP Fortaleza,2017,Solo exposto,0.65,
AngoNAP Fortaleza,2017,Construção,67.65,
AngoNAP Fortaleza,2018,Vegetação densa,0.98,
AngoNAP Fortaleza,2018,Grama,39.22,
AngoNAP Fortaleza,2018,Solo exposto,0.98,
AngoNAP Fortaleza,2018,Construção,58.82,
AngoNAP Fortaleza,2019,Vegetação densa,3.92,
AngoNAP Fortaleza,2019,Grama,55.56,
AngoNAP Fortaleza,2019,Solo exposto,0.33,
