name_datacenter,ano,ano_operacional_referencia,Construção,Grama,Solo exposto,Vegetação densa,fase
ASAP SP1,2016,2022.0,85.67,13.16,0.58,0.58,Fim de obra
ASAP SP1,2017,2022.0,90.35,8.19,0.58,0.88,Pós-obra
ASAP SP1,2018,2022.0,87.72,11.11,0.58,0.58,Pós-obra
ASAP SP1,2019,2022.0,87.43,10.23,0.29,2.05,Pós-obra
ASAP SP1,2020,2022.0,85.67,11.4,1.75,1.17,Pós-obra
ASAP SP1,2021,2022.0,88.01,11.11,0.29,0.58,Pós-obra
ASAP SP1,2022,2022.0,85.09,14.04,0.0,0.88,Pós-obra
ASAP SP1,2023,2022.0,84.21,14.91,0.0,0.88,Pós-obra
ASAP SP1,2024,2022.0,85.96,12.28,0.58,1.17,Pós-obra
ASAP SP1,2025,2022.0,81.58,16.96,0.0,1.46,Pós-obra
ASAP SP1,2026,2022.0,75.6,21.39,0.9,2.11,Pós-obra
Ascenty - Hortolandia HTL5,2016,2023.0,28.79,68.11,0.0,3.1,Pré-obra
Ascenty - Hortolandia HTL5,2017,2023.0,27.55,71.52,0.0,0.93,Pré-obra
Ascenty - Hortolandia HTL5,2018,2023.0,34.67,62.85,0.0,2.48,Pré-obra
Ascenty - Hortolandia HTL5,2019,2023.0,29.72,67.8,0.0,2.48,Pré-obra
Ascenty - Hortolandia HTL5,2020,2023.0,29.1,63.78,0.0,7.12,Pré-obra
Ascenty - Hortolandia HTL5,2021,2023.0,63.16,31.58,4.02,1.24,Fim de obra
Ascenty - Hortolandia HTL5,2022,2023.0,60.68,32.2,4.02,3.1,Pós-obra
Ascenty - Hortolandia HTL5,2023,2023.0,59.94,36.65,2.17,1.24,Pós-obra
Ascenty - Hortolandia HTL5,2024,2023.0,62.85,35.29,0.62,1.24,Pós-obra
Ascenty - Hortolandia HTL5,2025,2023.0,65.02,28.79,0.62,5.57,Pós-obra
Ascenty - Hortolandia HTL5,2026,2023.0,59.75,33.44,0.31,6.5,Pós-obra
Ascenty - Jundiai JDI2,2016,2020.0,57.6,29.24,0.29,12.87,Fim de obra
Ascenty - Jundiai JDI2,2017,2020.0,59.36,27.49,0.29,12.87,Pós-obra
Ascenty - Jundiai JDI2,2018,2020.0,65.79,17.84,0.29,16.08,Pós-obra
Ascenty - Jundiai JDI2,2019,2020.0,62.57,18.71,0.88,17.84,Pós-obra
Ascenty - Jundiai JDI2,2020,2020.0,66.08,15.2,0.88,17.84,Pós-obra
Ascenty - Jundiai JDI2,2021,2020.0,67.84,18.71,0.0,13.45,Pós-obra
Ascenty - Jundiai JDI2,2022,2020.0,62.28,19.88,0.0,17.84,Pós-obra
Ascenty - Jundiai JDI2,2023,2020.0,59.65,21.05,0.58,18.71,Pós-obra
Ascenty - Jundiai JDI2,2024,2020.0,63.45,18.13,0.29,18.13,Pós-obra
Ascenty - Jundiai JDI2,2025,2020.0,50.0,31.58,0.29,18.13,Pós-obra
Ascenty - Jundiai JDI2,2026,2020.0,47.95,37.72,0.58,13.74,Pós-obra
Ascenty - Paulinia PLN1,2016,2019.0,35.96,53.51,8.48,2.05,Pré-obra
Ascenty - Paulinia PLN1,2017,2019.0,39.47,50.0,8.77,1.75,Pré-obra
Ascenty - Paulinia PLN1,2018,2019.0,50.88,36.55,11.4,1.17,Durante obra
Ascenty - Paulinia PLN1,2019,2019.0,41.81,41.52,14.33,2.34,Durante obra
Ascenty - Paulinia PLN1,2020,2019.0,52.34,35.09,10.82,1.75,Fim de obra
Ascenty - Paulinia PLN1,2021,2019.0,49.12,39.47,9.36,2.05,Pós-obra
Ascenty - Paulinia PLN1,2022,2019.0,46.2,46.78,4.97,2.05,Pós-obra
Ascenty - Paulinia PLN1,2023,2019.0,45.91,47.08,2.63,4.39,Pós-obra
