name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Jundiai JDI2,2016,Vegetação densa,13.64,2020
Ascenty - Jundiai JDI2,2016,Grama,46.21,2020
Ascenty - Jundiai JDI2,2016,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2016,Construção,40.15,2020
Ascenty - Jundiai JDI2,2017,Vegetação densa,15.15,2020
Ascenty - Jundiai JDI2,2017,Grama,41.67,2020
Ascenty - Jundiai JDI2,2017,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2017,Construção,43.18,2020
Ascenty - Jundiai JDI2,2018,Vegetação densa,20.45,2020
Ascenty - Jundiai JDI2,2018,Grama,28.03,2020
Ascenty - Jundiai JDI2,2018,Solo exposto,0.76,2020
Ascenty - Jundiai JDI2,2018,Construção,50.76,2020
Ascenty - Jundiai JDI2,2019,Vegetação densa,22.73,2020
Ascenty - Jundiai JDI2,2019,Grama,19.7,2020
Ascenty - Jundiai JDI2,2019,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2019,Construção,57.58,2020
Ascenty - Jundiai JDI2,2020,Vegetação densa,22.73,2020
Ascenty - Jundiai JDI2,2020,Grama,21.97,2020
Ascenty - Jundiai JDI2,2020,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2020,Construção,55.3,2020
Ascenty - Jundiai JDI2,2021,Vegetação densa,16.67,2020
Ascenty - Jundiai JDI2,2021,Grama,25.0,2020
Ascenty - Jundiai JDI2,2021,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2021,Construção,58.33,2020
Ascenty - Jundiai JDI2,2022,Vegetação densa,20.45,2020
Ascenty - Jundiai JDI2,2022,Grama,22.73,2020
Ascenty - Jundiai JDI2,2022,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2022,Construção,56.82,2020
Ascenty - Jundiai JDI2,2023,Vegetação densa,21.97,2020
Ascenty - Jundiai JDI2,2023,Grama,25.76,2020
Ascenty - Jundiai JDI2,2023,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2023,Construção,52.27,2020
Ascenty - Jundiai JDI2,2024,Vegetação densa,23.48,2020
Ascenty - Jundiai JDI2,2024,Grama,24.24,2020
Ascenty - Jundiai JDI2,2024,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2024,Construção,52.27,2020
Ascenty - Jundiai JDI2,2025,Vegetação densa,16.67,2020
Ascenty - Jundiai JDI2,2025,Grama,47.73,2020
Ascenty - Jundiai JDI2,2025,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2025,Construção,35.61,2020
Ascenty - Jundiai JDI2,2026,Vegetação densa,10.61,2020
Ascenty - Jundiai JDI2,2026,Grama,51.52,2020
Ascenty - Jundiai JDI2,2026,Solo exposto,0.0,2020
Ascenty - Jundiai JDI2,2026,Construção,37.88,2020
