name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Paulinia PLN1,2016,Vegetação densa,0.76,2019
Ascenty - Paulinia PLN1,2016,Grama,63.64,2019
Ascenty - Paulinia PLN1,2016,Solo exposto,0.76,2019
Ascenty - Paulinia PLN1,2016,Construção,34.85,2019
Ascenty - Paulinia PLN1,2017,Vegetação densa,0.76,2019
Ascenty - Paulinia PLN1,2017,Grama,57.58,2019
Ascenty - Paulinia PLN1,2017,Solo exposto,1.52,2019
Ascenty - Paulinia PLN1,2017,Construção,40.15,2019
Ascenty - Paulinia PLN1,2018,Vegetação densa,1.52,2019
Ascenty - Paulinia PLN1,2018,Grama,37.88,2019
Ascenty - Paulinia PLN1,2018,Solo exposto,1.52,2019
Ascenty - Paulinia PLN1,2018,Construção,59.09,2019
Ascenty - Paulinia PLN1,2019,Vegetação densa,0.76,2019
Ascenty - Paulinia PLN1,2019,Grama,42.42,2019
Ascenty - Paulinia PLN1,2019,Solo exposto,0.0,2019
Ascenty - Paulinia PLN1,2019,Construção,56.82,2019
Ascenty - Paulinia PLN1,2020,Vegetação densa,0.76,2019
Ascenty - Paulinia PLN1,2020,Grama,44.7,2019
Ascenty - Paulinia PLN1,2020,Solo exposto,0.76,2019
Ascenty - Paulinia PLN1,2020,Construção,53.79,2019
Ascenty - Paulinia PLN1,2021,Vegetação densa,0.76,2019
Ascenty - Paulinia PLN1,2021,Grama,40.91,2019
Ascenty - Paulinia PLN1,2021,Solo exposto,0.0,2019
Ascenty - Paulinia PLN1,2021,Construção,58.33,2019
Ascenty - Paulinia PLN1,2022,Vegetação densa,0.0,2019
Ascenty - Paulinia PLN1,2022,Grama,45.45,2019
Ascenty - Paulinia PLN1,2022,Solo exposto,0.0,2019
Ascenty - Paulinia PLN1,2022,Construção,54.55,2019
Ascenty - Paulinia PLN1,2023,Vegetação densa,0.0,2019
Ascenty - Paulinia PLN1,2023,Grama,54.55,2019
Ascenty - Paulinia PLN1,2023,Solo exposto,0.0,2019
Ascenty - Paulinia PLN1,2023,Construção,45.45,2019
Ascenty - Paulinia PLN1,2024,Vegetação densa,4.55,2019
Ascenty - Paulinia PLN1,2024,Grama,36.36,2019
Ascenty - Paulinia PLN1,2024,Solo exposto,0.76,2019
Ascenty - Paulinia PLN1,2024,Construção,58.33,2019
Ascenty - Paulinia PLN1,2025,Vegetação densa,3.79,2019
Ascenty - Paulinia PLN1,2025,Grama,46.97,2019
Ascenty - Paulinia PLN1,2025,Solo exposto,2.27,2019
Ascenty - Paulinia PLN1,2025,Construção,46.97,2019
Ascenty - Paulinia PLN1,2026,Vegetação densa,1.52,2019
Ascenty - Paulinia PLN1,2026,Grama,53.79,2019
Ascenty - Paulinia PLN1,2026,Solo exposto,0.0,2019
Ascenty - Paulinia PLN1,2026,Construção,44.7,2019
