name_datacenter,ano,classe,percentual,ano_operacional_referencia
Equinix SP5x,2016,Vegetação densa,5.3,2022
Equinix SP5x,2016,Grama,36.36,2022
Equinix SP5x,2016,Solo exposto,1.52,2022
Equinix SP5x,2016,Construção,56.82,2022
Equinix SP5x,2017,Vegetação densa,3.03,2022
Equinix SP5x,2017,Grama,34.85,2022
Equinix SP5x,2017,Solo exposto,0.76,2022
Equinix SP5x,2017,Construção,61.36,2022
Equinix SP5x,2018,Vegetação densa,3.79,2022
Equinix SP5x,2018,Grama,33.33,2022
Equinix SP5x,2018,Solo exposto,0.0,2022
Equinix SP5x,2018,Construção,62.88,2022
Equinix SP5x,2019,Vegetação densa,5.3,2022
Equinix SP5x,2019,Grama,39.39,2022
Equinix SP5x,2019,Solo exposto,0.76,2022
Equinix SP5x,2019,Construção,54.55,2022
Equinix SP5x,2020,Vegetação densa,3.03,2022
Equinix SP5x,2020,Grama,34.85,2022
Equinix SP5x,2020,Solo exposto,2.27,2022
Equinix SP5x,2020,Construção,59.85,2022
Equinix SP5x,2021,Vegetação densa,1.52,2022
Equinix SP5x,2021,Grama,32.58,2022
Equinix SP5x,2021,Solo exposto,2.27,2022
Equinix SP5x,2021,Construção,63.64,2022
Equinix SP5x,2022,Vegetação densa,6.06,2022
Equinix SP5x,2022,Grama,41.67,2022
Equinix SP5x,2022,Solo exposto,0.0,2022
Equinix SP5x,2022,Construção,52.27,2022
Equinix SP5x,2023,Vegetação densa,2.27,2022
Equinix SP5x,2023,Grama,43.18,2022
Equinix SP5x,2023,Solo exposto,0.0,2022
Equinix SP5x,2023,Construção,54.55,2022
Equinix SP5x,2024,Vegetação densa,0.76,2022
Equinix SP5x,2024,Grama,43.18,2022
Equinix SP5x,2024,Solo exposto,0.0,2022
Equinix SP5x,2024,Construção,56.06,2022
Equinix SP5x,2025,Vegetação densa,5.38,2022
Equinix SP5x,2025,Grama,56.15,2022
Equinix SP5x,2025,Solo exposto,0.0,2022
Equinix SP5x,2025,Construção,38.46,2022
Equinix SP5x,2026,Vegetação densa,3.79,2022
Equinix SP5x,2026,Grama,57.58,2022
Equinix SP5x,2026,Solo exposto,0.0,2022
Equinix SP5x,2026,Construção,38.64,2022
