name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA RJ01,2016,Vegetação densa,0.0,2025
ODATA RJ01,2016,Grama,6.06,2025
ODATA RJ01,2016,Solo exposto,0.0,2025
ODATA RJ01,2016,Construção,93.94,2025
ODATA RJ01,2017,Vegetação densa,0.0,2025
ODATA RJ01,2017,Grama,9.85,2025
ODATA RJ01,2017,Solo exposto,0.0,2025
ODATA RJ01,2017,Construção,90.15,2025
ODATA RJ01,2018,Vegetação densa,0.0,2025
ODATA RJ01,2018,Grama,10.61,2025
ODATA RJ01,2018,Solo exposto,0.0,2025
ODATA RJ01,2018,Construção,89.39,2025
ODATA RJ01,2019,Vegetação densa,0.0,2025
ODATA RJ01,2019,Grama,7.58,2025
ODATA RJ01,2019,Solo exposto,0.0,2025
ODATA RJ01,2019,Construção,92.42,2025
ODATA RJ01,2020,Vegetação densa,0.0,2025
ODATA RJ01,2020,Grama,12.12,2025
ODATA RJ01,2020,Solo exposto,0.0,2025
ODATA RJ01,2020,Construção,87.88,2025
ODATA RJ01,2021,Vegetação densa,0.0,2025
ODATA RJ01,2021,Grama,9.09,2025
ODATA RJ01,2021,Solo exposto,0.0,2025
ODATA RJ01,2021,Construção,90.91,2025
ODATA RJ01,2022,Vegetação densa,0.0,2025
ODATA RJ01,2022,Grama,5.3,2025
ODATA RJ01,2022,Solo exposto,0.0,2025
ODATA RJ01,2022,Construção,94.7,2025
ODATA RJ01,2023,Vegetação densa,0.0,2025
ODATA RJ01,2023,Grama,2.27,2025
ODATA RJ01,2023,Solo exposto,0.76,2025
ODATA RJ01,2023,Construção,96.97,2025
ODATA RJ01,2024,Vegetação densa,0.0,2025
ODATA RJ01,2024,Grama,0.0,2025
ODATA RJ01,2024,Solo exposto,3.03,2025
ODATA RJ01,2024,Construção,96.97,2025
ODATA RJ01,2025,Vegetação densa,0.0,2025
ODATA RJ01,2025,Grama,5.3,2025
ODATA RJ01,2025,Solo exposto,0.0,2025
ODATA RJ01,2025,Construção,94.7,2025
ODATA RJ01,2026,Vegetação densa,0.0,2025
ODATA RJ01,2026,Grama,3.79,2025
ODATA RJ01,2026,Solo exposto,0.0,2025
ODATA RJ01,2026,Construção,96.21,2025
