name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA SP02 DC1,2016,Vegetação densa,2.08,2020
ODATA SP02 DC1,2016,Grama,43.06,2020
ODATA SP02 DC1,2016,Solo exposto,8.33,2020
ODATA SP02 DC1,2016,Construção,46.53,2020
ODATA SP02 DC1,2017,Vegetação densa,0.0,2020
ODATA SP02 DC1,2017,Grama,41.67,2020
ODATA SP02 DC1,2017,Solo exposto,10.42,2020
ODATA SP02 DC1,2017,Construção,47.92,2020
ODATA SP02 DC1,2018,Vegetação densa,0.0,2020
ODATA SP02 DC1,2018,Grama,42.36,2020
ODATA SP02 DC1,2018,Solo exposto,11.11,2020
ODATA SP02 DC1,2018,Construção,46.53,2020
ODATA SP02 DC1,2019,Vegetação densa,0.69,2020
ODATA SP02 DC1,2019,Grama,39.58,2020
ODATA SP02 DC1,2019,Solo exposto,22.92,2020
ODATA SP02 DC1,2019,Construção,36.81,2020
ODATA SP02 DC1,2020,Vegetação densa,0.69,2020
ODATA SP02 DC1,2020,Grama,36.81,2020
ODATA SP02 DC1,2020,Solo exposto,12.5,2020
ODATA SP02 DC1,2020,Construção,50.0,2020
ODATA SP02 DC1,2021,Vegetação densa,0.0,2020
ODATA SP02 DC1,2021,Grama,28.47,2020
ODATA SP02 DC1,2021,Solo exposto,15.28,2020
ODATA SP02 DC1,2021,Construção,56.25,2020
ODATA SP02 DC1,2022,Vegetação densa,0.69,2020
ODATA SP02 DC1,2022,Grama,34.72,2020
ODATA SP02 DC1,2022,Solo exposto,12.5,2020
ODATA SP02 DC1,2022,Construção,52.08,2020
ODATA SP02 DC1,2023,Vegetação densa,0.69,2020
ODATA SP02 DC1,2023,Grama,33.33,2020
ODATA SP02 DC1,2023,Solo exposto,13.19,2020
ODATA SP02 DC1,2023,Construção,52.78,2020
ODATA SP02 DC1,2024,Vegetação densa,0.0,2020
ODATA SP02 DC1,2024,Grama,9.72,2020
ODATA SP02 DC1,2024,Solo exposto,15.28,2020
ODATA SP02 DC1,2024,Construção,75.0,2020
ODATA SP02 DC1,2025,Vegetação densa,0.0,2020
ODATA SP02 DC1,2025,Grama,17.36,2020
ODATA SP02 DC1,2025,Solo exposto,8.33,2020
ODATA SP02 DC1,2025,Construção,74.31,2020
ODATA SP02 DC1,2026,Vegetação densa,0.0,2020
ODATA SP02 DC1,2026,Grama,33.33,2020
ODATA SP02 DC1,2026,Solo exposto,4.17,2020
ODATA SP02 DC1,2026,Construção,62.5,2020
