name_datacenter,ano,classe,percentual,ano_operacional_referencia
Quântico Data Center,2016,Vegetação densa,30.07,2021
Quântico Data Center,2016,Grama,10.49,2021
Quântico Data Center,2016,Solo exposto,42.66,2021
Quântico Data Center,2016,Construção,16.78,2021
Quântico Data Center,2017,Vegetação densa,16.08,2021
Quântico Data Center,2017,Grama,19.58,2021
Quântico Data Center,2017,Solo exposto,40.56,2021
Quântico Data Center,2017,Construção,23.78,2021
Quântico Data Center,2018,Vegetação densa,7.86,2021
Quântico Data Center,2018,Grama,16.43,2021
Quântico Data Center,2018,Solo exposto,8.57,2021
Quântico Data Center,2018,Construção,67.14,2021
Quântico Data Center,2019,Vegetação densa,9.93,2021
Quântico Data Center,2019,Grama,9.93,2021
Quântico Data Center,2019,Solo exposto,5.67,2021
Quântico Data Center,2019,Construção,74.47,2021
Quântico Data Center,2020,Vegetação densa,10.79,2021
Quântico Data Center,2020,Grama,12.95,2021
Quântico Data Center,2020,Solo exposto,7.91,2021
Quântico Data Center,2020,Construção,68.35,2021
Quântico Data Center,2021,Vegetação densa,9.09,2021
Quântico Data Center,2021,Grama,18.18,2021
Quântico Data Center,2021,Solo exposto,6.99,2021
Quântico Data Center,2021,Construção,65.73,2021
Quântico Data Center,2022,Vegetação densa,5.67,2021
Quântico Data Center,2022,Grama,24.82,2021
Quântico Data Center,2022,Solo exposto,3.55,2021
Quântico Data Center,2022,Construção,65.96,2021
Quântico Data Center,2023,Vegetação densa,4.2,2021
Quântico Data Center,2023,Grama,30.07,2021
Quântico Data Center,2023,Solo exposto,0.0,2021
Quântico Data Center,2023,Construção,65.73,2021
Quântico Data Center,2024,Vegetação densa,5.59,2021
Quântico Data Center,2024,Grama,38.46,2021
Quântico Data Center,2024,Solo exposto,1.4,2021
Quântico Data Center,2024,Construção,54.55,2021
Quântico Data Center,2025,Vegetação densa,1.4,2021
Quântico Data Center,2025,Grama,71.33,2021
Quântico Data Center,2025,Solo exposto,1.4,2021
Quântico Data Center,2025,Construção,25.87,2021
Quântico Data Center,2026,Vegetação densa,0.0,2021
Quântico Data Center,2026,Grama,86.01,2021
Quântico Data Center,2026,Solo exposto,0.0,2021
Quântico Data Center,2026,Construção,13.99,2021
