name_datacenter,ano,classe,percentual,ano_operacional_referencia
TO HOST Data Centers,2016,Vegetação densa,0.0,2023
TO HOST Data Centers,2016,Grama,9.92,2023
TO HOST Data Centers,2016,Solo exposto,0.83,2023
TO HOST Data Centers,2016,Construção,89.26,2023
TO HOST Data Centers,2017,Vegetação densa,0.0,2023
TO HOST Data Centers,2017,Grama,7.44,2023
TO HOST Data Centers,2017,Solo exposto,0.83,2023
TO HOST Data Centers,2017,Construção,91.74,2023
TO HOST Data Centers,2018,Vegetação densa,0.0,2023
TO HOST Data Centers,2018,Grama,8.26,2023
TO HOST Data Centers,2018,Solo exposto,0.0,2023
TO HOST Data Centers,2018,Construção,91.74,2023
TO HOST Data Centers,2019,Vegetação densa,0.0,2023
TO HOST Data Centers,2019,Grama,5.79,2023
TO HOST Data Centers,2019,Solo exposto,0.0,2023
TO HOST Data Centers,2019,Construção,94.21,2023
TO HOST Data Centers,2020,Vegetação densa,0.0,2023
TO HOST Data Centers,2020,Grama,6.61,2023
TO HOST Data Centers,2020,Solo exposto,0.0,2023
TO HOST Data Centers,2020,Construção,93.39,2023
TO HOST Data Centers,2021,Vegetação densa,0.0,2023
TO HOST Data Centers,2021,Grama,4.96,2023
TO HOST Data Centers,2021,Solo exposto,0.0,2023
TO HOST Data Centers,2021,Construção,95.04,2023
TO HOST Data Centers,2022,Vegetação densa,0.0,2023
TO HOST Data Centers,2022,Grama,4.13,2023
TO HOST Data Centers,2022,Solo exposto,0.0,2023
TO HOST Data Centers,2022,Construção,95.87,2023
TO HOST Data Centers,2023,Vegetação densa,0.0,2023
TO HOST Data Centers,2023,Grama,7.44,2023
TO HOST Data Centers,2023,Solo exposto,0.0,2023
TO HOST Data Centers,2023,Construção,92.56,2023
TO HOST Data Centers,2024,Vegetação densa,0.0,2023
TO HOST Data Centers,2024,Grama,4.96,2023
TO HOST Data Centers,2024,Solo exposto,0.0,2023
TO HOST Data Centers,2024,Construção,95.04,2023
TO HOST Data Centers,2025,Vegetação densa,0.0,2023
TO HOST Data Centers,2025,Grama,9.92,2023
TO HOST Data Centers,2025,Solo exposto,0.0,2023
TO HOST Data Centers,2025,Construção,90.08,2023
TO HOST Data Centers,2026,Vegetação densa,0.0,2023
TO HOST Data Centers,2026,Grama,8.26,2023
TO HOST Data Centers,2026,Solo exposto,0.0,2023
TO HOST Data Centers,2026,Construção,91.74,2023
