name_datacenter,ano,ano_operacional_referencia,Construção,Grama,Solo exposto,Vegetação densa,fase
ASAP SP1,2016,2022,95.04,4.96,0.0,0.0,Fim de obra
ASAP SP1,2017,2022,94.21,5.79,0.0,0.0,Pós-obra
ASAP SP1,2018,2022,92.56,5.79,0.0,1.65,Pós-obra
ASAP SP1,2019,2022,90.08,9.92,0.0,0.0,Pós-obra
ASAP SP1,2020,2022,93.39,6.61,0.0,0.0,Pós-obra
ASAP SP1,2021,2022,90.08,9.92,0.0,0.0,Pós-obra
ASAP SP1,2022,2022,89.26,10.74,0.0,0.0,Pós-obra
ASAP SP1,2023,2022,85.95,14.05,0.0,0.0,Pós-obra
ASAP SP1,2024,2022,91.74,8.26,0.0,0.0,Pós-obra
ASAP SP1,2025,2022,70.25,29.75,0.0,0.0,Pós-obra
ASAP SP1,2026,2022,63.72,35.4,0.88,0.0,Pós-obra
Ascenty - Hortolandia HTL5,2016,2023,25.76,74.24,0.0,0.0,Pré-obra
Ascenty - Hortolandia HTL5,2017,2023,21.97,78.03,0.0,0.0,Pré-obra
Ascenty - Hortolandia HTL5,2018,2023,31.06,68.94,0.0,0.0,Pré-obra
Ascenty - Hortolandia HTL5,2019,2023,28.03,71.97,0.0,0.0,Pré-obra
Ascenty - Hortolandia HTL5,2020,2023,26.52,73.48,0.0,0.0,Pré-obra
Ascenty - Hortolandia HTL5,2021,2023,82.58,4.55,12.88,0.0,Durante obra
Ascenty - Hortolandia HTL5,2022,2023,90.91,6.06,3.03,0.0,Fim de obra
Ascenty - Hortolandia HTL5,2023,2023,92.37,6.11,1.53,0.0,Pós-obra
Ascenty - Hortolandia HTL5,2024,2023,94.7,5.3,0.0,0.0,Pós-obra
Ascenty - Hortolandia HTL5,2025,2023,93.18,5.3,1.52,0.0,Pós-obra
Ascenty - Hortolandia HTL5,2026,2023,88.64,11.36,0.0,0.0,Pós-obra
Ascenty - Jundiai JDI2,2016,2020,40.15,46.21,0.0,13.64,Pré-obra
Ascenty - Jundiai JDI2,2017,2020,43.18,41.67,0.0,15.15,Pré-obra
Ascenty - Jundiai JDI2,2018,2020,50.76,28.03,0.76,20.45,Indefinido
Ascenty - Jundiai JDI2,2019,2020,57.58,19.7,0.0,22.73,Fim de obra
Ascenty - Jundiai JDI2,2020,2020,55.3,21.97,0.0,22.73,Pós-obra
