nome_datacenter;operadora;endereco;cep;link_datacenter;ano_inicio_obra;ano_conclusao_obra;area_construida_m2;fonte;observacoes
Data Center Marechal Rondon;Brazilian Army;R. da Independencia, 632 ;01524-000;https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/;;2025;112;datacentermap.com;"Operacional a partir de 29/05/2025; área refere-se a sala segura modular (112 m²), não à área total do complexo."
Adentro DC Porto Alegre;ADENTRO DATA CENTER SOLUTIONS LTDA;Av. Bahia, 1258;90240-552;https://www.datacentermap.com/brazil/porto-alegre/adentro/;;;;;Não encontrado na página do datacentermap.com.
Algar Tech Uberlandia - Jaraguá;Algar Tech;Rua Janaúba, 145;38413-102;https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/;;;;;Não encontrado na página do datacentermap.com.
Algar Tech Uberlandia - Granja Marileusa;Algar Tech;Av. Floriano Peixoto, 6500;38406-642;https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/;;;;;Não encontrado na página do datacentermap.com.
ODATA RJ01;ODATA, an Aligned Data Centers Company;Rod. Pres. Dutra, 4648;25565-350;https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/;;2023;18000;datacentermap.com;Terreno de 20.000 m², piso elevado de 18.000 m². Potência crítica 24 MW. Inauguração operacional em agosto/2023. Adquirido pela Aligned Data Centers em 2023 (antes ODATA autônoma).
ODATA SP01;ODATA, an Aligned Data Centers Company;39,2, Estr. dos Romeiros, 943;06513-001;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/;2016;2017;13500;datacentermap.com;Fase 1 operacional em 2017, fase 2 em 2021. Terreno 22.000 m², edifício 13.500 m², piso elevado 5.600 m². Potência 19,4 MW.
ODATA SP03;ODATA, an Aligned Data Centers Company;Alameda Araguacema, 187;06460-070;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/;;2010;6220;datacentermap.com;"Inaugurado em 2010 pela T-Systems (Tier III); ODATA assumiu em 2019, Aligned adquiriu em 2023. Piso elevado 1.800 m², terreno 8.030 m². Potência 3,2 MW."
AngoNAP Fortaleza;Angola Cables;Av. Trajano de Medeiros, 1851 - Vicente Pinzon;60182-186;https://www.datacentermap.com/brazil/fortaleza/angonap-fortaleza/;;2019;2100;datacentermap.com;Inaugurado abril/2019. Fase inicial 2.100 m², área atual 3.000 m², expansão planejada até 9.000 m² (5 MW).
Armazem DC Brusque;Armazém Cloud;R. Atílio Battistoti, 199 - Azambuja;88354-120;https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/;;;;;Não encontrado na página do datacentermap.com. Certificação Tier III Design and Facility.
Armazem DC Joinville;Armazém Cloud;R. Dona Francisca, 8300 - Distrito Industrial Norte;89219-600;https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/;;;;;Não encontrado na página do datacentermap.com. Certificação Tier III Facility.
ASAP SP1;ASAP Telecom;Av. das Nações Unidas, 22540;04795000;https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/;;;;;Não encontrado na página do datacentermap.com. Potência: 1MW UPS / 2MW energia total, 150 racks.
Ascenty - Campinas CPS1;Ascenty Data Centers;Avenida Pierre Simon de Laplace, 1211;13069-320;https://www.datacentermap.com/brazil/campinas/ascenty/;;2012;;ascenty.com / datacentermap.com;"Primeiro data center da Ascenty, inaugurado em 25/set/2012 em Campinas. Certificação Tier III (Uptime Institute). Investimento inicial de R$100 milhões (Christopher Torto); Great Hill Partners investiu R$250 milhões total na Ascenty."
Ascenty - Hortolandia HTL4;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/;;2021;;datacentermap.com;Potência 3 MW.
Ascenty - Hortolandia HTL5;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/ascenty-htl05/;;2022;;telesintese.com.br / datacentermap.com;Inaugurado na semana de 04/out/2022 (5º data center do campus Hortolândia). Potência 31 MW (campus foi de 23 MW para 54 MW). Investimento de R$350 milhões já aplicados (projeção total R$920 milhões).
Ascenty - Jundiai JDI1;Ascenty Data Centers;Rua Presbítero Plínio Alves de Souza, 757;13212-181;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/;;2014;;ascenty.com (rede SP) — baixa confiança;Não confirmado individualmente na página do datacentermap.com. Segundo artigo da Ascenty, os dois data centers de Jundiaí (JDI1 15 MW + JDI2 13 MW) estão operacionais 'desde 2014-2019' — combinado com a confirmação de que o JDI2 foi inaugurado em jun/2019, o JDI1 é inferido como de 2014 (não confirmado individualmente, baixa confiança).
Ascenty - Jundiai JDI2;Ascenty Data Centers;Av. Beirute, 863;13212-181;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/;;2019;7500;baguete.com.br / ascenty.com;Inaugurado em junho/2019 ('segundo data center em Jundiaí'). 7.500 m² de construção, 16 MVA de potência. Investimento de R$150 milhões.
